,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[372],-0.0492506,0.000413649,0.0222993,-0.0914734,-0.044721,-0.021127,2906.15,722.383,0.99982
log_lik[373],-0.0506114,0.000438873,0.0239573,-0.0952763,-0.0457027,-0.0209594,2979.88,740.712,0.999891
log_lik[374],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[375],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[376],-0.0445661,0.000239151,0.0167843,-0.0758758,-0.0423478,-0.0218964,4925.66,1224.38,0.999693
log_lik[377],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[378],-0.0458472,0.000268568,0.0158952,-0.0748322,-0.0433579,-0.0243425,3502.87,870.711,0.99946
log_lik[379],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[380],-0.0434855,0.000179645,0.013429,-0.0683729,-0.0421228,-0.0241475,5588.03,1389.02,0.999377
log_lik[381],-0.0432754,0.00017907,0.0133663,-0.068335,-0.0418216,-0.0241369,5571.58,1384.93,0.999369
log_lik[382],-0.0427426,0.000207309,0.015052,-0.0705629,-0.0409036,-0.0219915,5271.68,1310.39,0.999541
log_lik[383],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[384],-0.0448033,0.000193635,0.0144047,-0.0711786,-0.0432326,-0.0242844,5533.99,1375.59,0.999454
log_lik[385],-0.0428285,0.00019705,0.0143601,-0.0693371,-0.0410702,-0.0229676,5310.83,1320.12,0.999482
log_lik[386],-0.0434645,0.000211534,0.0151991,-0.071885,-0.041751,-0.0224487,5162.63,1283.28,0.99957
log_lik[387],-0.0431167,0.00018642,0.0138016,-0.0690596,-0.0415927,-0.0237028,5481.16,1362.45,0.999425
log_lik[388],-0.0471703,0.000240688,0.0174323,-0.0795579,-0.0447036,-0.0230546,5245.68,1303.92,0.999554
log_lik[389],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[390],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[391],-0.0455794,0.000268566,0.0158658,-0.0745534,-0.0431547,-0.0242512,3489.98,867.506,0.999432
log_lik[392],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
